school_year,dbn,school_name,report_type,avg_metric_score,n_metric_rows
2018,03M541,Manhattan / Hunter Science High School,HS,4.6652000000000005,25
2018,12X316,Kappa III,EMS,3.5185185185185186,27
2018,03M610,Young Women's Leadership School,EMS,4.068235294117647,17
2018,03M610,Young Women's Leadership School,HS,4.4604,25
2018,04M007,P.S. 007 Samuel Stern,EMS,2.3724,25
2018,03M859,Special Music School,EMS,4.391666666666667,12
2018,03M859,Special Music School,HS,4.075,24
2018,03M860,Frederick Douglass Academy II Secondary School,EMS,3.7515789473684213,19
2018,03M860,Frederick Douglass Academy II Secondary School,HS,2.8329032258064517,31
2018,03M862,Mott Hall II,EMS,3.584090909090909,22
2018,04M012,Tag Young Scholars,EMS,4.440625,16
2018,04M037,River East Elementary,EMS,1.9266666666666667,15
2018,04M038,P.S. 38 Roberto Clemente,EMS,2.7655,20
2018,04M057,James Weldon Johnson,EMS,2.0374074074074073,27
2018,04M072,The Lexington Academy,EMS,2.4444,25
2018,04M083,P.S. 083 Luis Munoz Rivera,EMS,3.5214285714285714,21
2018,04M096,P.S. 096 Joseph Lanzetta,EMS,2.7016,25
2016,75K368,P.S. 368,D75,3.7866666666666666,3
2018,04M102,P.S. 102 Jacques Cartier,EMS,2.546666666666667,18
2018,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,EMS,2.6204,25
2018,04M112,P.S. 112 Jose Celso Barbosa,EC,2.915,2
2018,04M146,P.S. 146 Ann M. Short,EMS,3.634,20
2018,04M155,P.S. 155 William Paca,EMS,2.747272727272727,22
2018,04M171,P.S. 171 Patrick Henry,EMS,3.7377777777777776,18
2018,04M182,The Bilingual Bicultural School,EMS,3.727,20
2018,04M224,M.S. 224 Manhattan East School for Arts & Academic,EMS,4.1868181818181816,22
2018,04M310,THE JUDITH S. KAYE HIGH SCHOOL,HST,2.727,10
2018,04M372,Esperanza Preparatory Academy,EMS,3.986,25
2018,04M372,Esperanza Preparatory Academy,HS,3.1896774193548385,31
2017,03M075,P.S. 075 Emily Dickinson,EMS,3.594,20
2018,04M375,Mosaic Preparatory Academy,EMS,2.537777777777778,18
2018,04M377,Renaissance School of the Arts,EMS,3.9092307692307693,26
2018,04M435,Manhattan Center for Science and Mathematics,HS,4.1072,25
2018,04M495,Park East High School,HS,4.61448275862069,29
2018,04M497,Central Park East I,EMS,2.4115384615384614,13
2018,04M555,Central Park East High School,HS,4.3164,25
2018,04M680,"Heritage School, The",HS,3.4926666666666666,30
2018,04M825,Isaac Newton Middle School for Math & Science,EMS,4.3668,25
2018,04M964,Central Park East II,EMS,2.039,20
2016,75M035,P.S. 035,D75,3.2933333333333334,3
2018,05M030,P.S. 030 Hernandez/Hughes,EMS,3.132222222222222,18
2018,05M036,P.S. 036 Margaret Douglas,EMS,2.978,20
2018,05M046,P.S. 046 Arthur Tappan,EMS,2.6214814814814815,27
2018,05M092,P.S. 092 Mary McLeod Bethune,EMS,3.3757894736842107,19
2018,05M123,P.S. 123 Mahalia Jackson,EMS,2.3912,25
2018,05M125,P.S. 125 Ralph Bunche,EMS,4.112857142857143,14
2018,05M129,P.S. 129 John H. Finley,EMS,2.716296296296296,27
2018,05M133,P.S. 133 Fred R Moore,EMS,3.35,20
2018,05M148,Eagle Academy for Young Men of Harlem,EMS,2.3541666666666665,24
2018,05M148,Eagle Academy for Young Men of Harlem,HS,1.8776923076923078,13
2018,05M154,P.S. 154 Harriet Tubman,EMS,3.4015,20
2018,05M157,The Urban Assembly School for Global Commerce,HS,2.777241379310345,29
2018,05M304,Mott Hall High School,HS,2.5283870967741935,31
2018,05M161,P.S. 161 Pedro Albizu Campos,EMS,2.536,25
2018,05M175,P.S. 175 Henry H Garnet,EMS,3.2705,20
2018,05M194,P.S. 194 Countee Cullen,EMS,2.108,20
2018,05M197,P.S. 197 John B. Russwurm,EMS,2.5141176470588236,17
2018,05M200,P.S. 200- The James McCune Smith School,EMS,3.329,20
2018,05M285,Harlem Renaissance High School,HST,2.6348148148148147,27
2018,05M286,Urban Assembly Academy for Future Leaders,EMS,2.5554545454545456,22
2018,05M318,Thurgood Marshall Academy Lower School,EMS,2.827058823529412,17
2018,05M362,Columbia Secondary School,EMS,4.361111111111112,18
2018,05M362,Columbia Secondary School,HS,4.133478260869565,23
