dbn,school_name,school_type,avg_metric_score,n_metric_rows
14K614,Young Women's Leadership School of Brooklyn,High School,3.6116949152542372,177
14K685,El Puente Academy for Peace and Justice,High School,3.216875,160
15K051,M.S. 51 William Alexander,Middle,3.5445637583892617,149
15K088,J.H.S. 088 Peter Rouget,Middle,3.3766666666666665,180
15K136,I.S. 136 Charles O. Dewey,Middle,2.9886338797814207,183
15K429,Digital Arts and Cinema Technology High School,High School,3.7852604166666666,192
15K442,M.S. 442 Carroll Gardens School for Innovation,Middle,3.9665185185185186,135
15K443,New Voices School of Academic & Creative Arts,Middle,4.290298507462687,134
15K447,The Exploratory School,Middle,4.273333333333333,132
15K448,Brooklyn Collaborative Studies,Middle,2.569375,112
15K448,Brooklyn Collaborative Studies,High School,3.517515923566879,157
15K462,John Jay School for Law,High School,2.9106842105263158,190
15K464,Park Slope Collegiate,Middle,2.853706293706294,143
15K464,Park Slope Collegiate,High School,2.9544041450777203,193
15K497,The Boerum Hill School for International Studies,Middle,2.991753246753247,154
15K497,The Boerum Hill School for International Studies,High School,2.5197905759162302,191
15K519,Cobble Hill School of American Studies,High School,3.319481865284974,193
15K592,Khalil Gibran International Academy,High School,2.7989204545454545,176
15K656,Brooklyn High School of the Arts,High School,3.117816091954023,174
15K667,Sunset Park High School,High School,3.1965671641791045,201
27Q314,Epic High School - South,High School,2.5186986301369862,146
