dbn,school_name,report_type,n_metrics_compared,n_metrics_below_avg,pct_metrics_below_avg,any_below_avg
23K671,Mott Hall Bridges Academy,EMS,183,89,48.6,True
23K697,Teachers Preparatory High School,EMS,70,43,61.4,True
23K697,Teachers Preparatory High School,HS,257,161,62.6,True
24Q005,I.S. 5 - The Walter Crowley Intermediate School,EMS,228,116,50.9,True
08X125,J.H.S. 125 Henry Hudson,EMS,81,56,69.1,True
24Q007,P.S. 007 Louis F. Simeone,EMS,116,12,10.3,True
24Q012,P.S. 012 James B. Colgate,EMS,189,71,37.6,True
24Q013,P.S. 013 Clement C. Moore,EMS,206,115,55.8,True
24Q014,P.S. 014 Fairview,EMS,188,153,81.4,True
24Q016,P.S. Q016 The Nancy DeBenedittis School,EMS,177,137,77.4,True
24Q019,P.S. 019 Marino Jeantet,EMS,188,101,53.7,True
24Q058,P.S. 58 - The School of Heroes,EMS,193,104,53.9,True
24Q068,P.S. 068 Cambridge,EMS,183,74,40.4,True
24Q071,P.S. 071 Forest,EMS,177,119,67.2,True
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,EMS,231,70,30.3,True
24Q077,Joseph F. Quinn Intermediate School 77,EMS,223,161,72.2,True
24Q081,P.S. 81Q Jean Paul Richter,EMS,189,57,30.2,True
24Q087,P.S./I.S. 087 Middle Village,EMS,199,84,42.2,True
24Q088,P.S. 088 Seneca,EMS,194,149,76.8,True
24Q089,P.S. 89Q: The Jose Peralta School of Dreamers,EMS,190,103,54.2,True
24Q091,P.S. 091 Richard Arkwright,EMS,186,153,82.3,True
24Q102,P.S. 102 Bayview,EMS,213,91,42.7,True
24Q113,P.S./I.S. 113 Anthony J. Pranzo,EMS,217,128,59.0,True
24Q125,I.S. 125 Thom J. McCann Woodside,EMS,235,168,71.5,True
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",EMS,212,130,61.3,True
24Q143,P.S. 143 Louis Armstrong,EMS,189,154,81.5,True
24Q153,P.S. 153 Maspeth Elem,EMS,201,144,71.6,True
24Q199,P.S. 199 Maurice A. Fitzgerald,EMS,196,116,59.2,True
24Q211,Elm Tree Elementary School,EMS,136,60,44.1,True
24Q229,P.S. 229 Emanuel Kaplan,EMS,200,124,62.0,True
24Q236,International High School for Health Sciences,HS,192,89,46.4,True
24Q264,Academy of Finance and Enterprise,HS,326,68,20.9,True
24Q267,High School of Applied Communication,HS,281,107,38.1,True
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,EMS,175,83,47.4,True
24Q293,Civic Leadership Academy,HS,284,51,18.0,True
24Q296,Pan American International High School,HS,212,22,10.4,True
24Q299,Bard High School Early College Queens,HS,309,114,36.9,True
24Q305,Learners and Leaders,EMS,176,69,39.2,True
24Q307,Pioneer Academy,EMS,178,88,49.4,True
24Q311,Corona Arts & Sciences Academy,EMS,199,144,72.4,True
24Q343,The Children's Lab School,EMS,128,34,26.6,True
24Q457,H.S. Arts & Business Yabc,YABC,98,48,49.0,True
24Q485,Grover Cleveland High School,HS,351,274,78.1,True
24Q520,Middle College High School at LaGuardia Community College,HS,209,84,40.2,True
24Q530,International High School at LaGuardia Community College,HS,229,21,9.2,True
24Q550,High School for Arts and Business,HS,294,27,9.2,True
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",EMS,179,66,36.9,True
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",HS,295,97,32.9,True
24Q585,Maspeth High School,HS,319,54,16.9,True
24Q600,Queens Technical High School,HS,324,213,65.7,True
24Q610,Aviation Career & Technical Education High School,HS,354,71,20.1,True
24Q744,VOYAGES Preparatory,HST,195,121,62.1,True
25Q020,P.S. 020 John Bowne,EMS,194,104,53.6,True
25Q021,P.S. 021 Edward Hart,EMS,198,72,36.4,True
25Q022,P.S. 022 Thomas Jefferson,EMS,184,19,10.3,True
25Q024,P.S. 024 Andrew Jackson,EMS,177,17,9.6,True
25Q025,I.S. 025 Adrien Block,EMS,229,123,53.7,True
25Q032,P.S. 032 State Street,EMS,195,71,36.4,True
25Q079,P.S. 079 Francis Lewis,EMS,186,49,26.3,True
25Q107,P.S. 107 Thomas A Dooley,EMS,193,108,56.0,True
25Q120,P.S. 120 Queens,EMS,187,76,40.6,True
25Q129,P.S. 129 Patricia Larkin,EMS,193,96,49.7,True
25Q154,P.S. 154 Queens,EMS,173,73,42.2,True
25Q163,P.S. 163 Flushing Heights,EMS,177,20,11.3,True
25Q164,P.S. 164 Queens Valley,EMS,218,141,64.7,True
25Q165,P.S. 165 Edith K. Bergtraum,EMS,199,44,22.1,True
